	Topic_Num	Topic_Perc_Contrib	Keywords	Text
0	0.0	0.3495	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	"변종 코로나19가 급성 패혈증 유발한다신종 코로나바이러스 감염증(코로나19)과 패혈증(sepsis·敗血症)의 관련성에 관심을 갖는 이들이 적지 않다. 국내에서 코로나19 감염자가 패혈증으로 사망한 사례가 있지만, 코로나19와 패혈증의 관계에 궁금증이 증폭된 계기는 코로나19 음성 판정을 받은 것으로 알려진 배우 문지윤씨와 아프리카TV BJ 이치훈씨 등 30대 남성 2명이 패혈증으로 목숨을 잃은 일이었다.  인터넷 커뮤니티에서는 ""증상이 있은 후 불과 5∼7일만에 급성 패혈증으로 사망하는 게 이상하다. 변이된 슈퍼 코로나바이러스일 수 있다"", ""아무래도 코로나 관련 돌연변이에서 생성된 바이러스가 급성 패혈증을 유발하는 건 아닌지"" 등의 글이 올라왔다.  양성·음성을 가르는 국내 검진 장비로 걸러낼 수 없을 만큼 변이된 코로나19가 급성 패혈증을 야기한 것 아니냐는 막연한 추측까지 제기된 것이다.  변종 코로나 19가 급성 패혈증을 유발한다는 건 사실일까? 연합뉴스 팩트체크팀이 확인해봤다."
1	0.0	0.3002	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	변이한 코로나19 유전자, 진단키트로 못 잡는다신종 코로나바이러스 감염증(코로나19)의 '변이' 문제가 관심사로 떠오르고 있다. 발열 등 증상 발현  8일만에 폐렴으로 숨진 대구의 17세 고교생, 각각 30대 나이에 급성 패혈증으로 사망한 배우 문지윤 씨와 아프리카 TV BJ 이치훈씨 등은 코로나 19 감염 확진 판정을 받지 않았다. 대구 고교생의 경우 10여차례 음성 판정과 한차례의 양성 소견이 엇갈렸지만 사후에 음성으로 최종 결론이 났다.  하지만 이들의 비보를 접한 네티즌들 사이에서는 진단 검사에서 양성으로 걸러지지 않을 정도로 변이한 코로나19가 퍼지고 있는 것 아니냐는 추측이 제기되고 있다.  SNS에는 '코로나가 증상은 강해지고 진단검사에 걸리지 않을 정도로 변이했을까봐 무섭다', '코로나19가 변이된 새로운 형태의 바이러스일까 걱정된다'는 등의 글이 꼬리에 꼬리를 물고 있다.  만일 코로나 19 유전자 변이가 나타날 경우, 현재의 진단 키트로는 감염 여부를 잡아낼 수 없을까?
2	0.0	0.2254	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	"코로나 이어 중국발 한타바이러스 전파 가능성있다인터넷 공간에서 한타바이러스(Hanta virus)에 관심을 갖는 이들이 적지 않다. 중국에서 사망한 한 노동자에게서 한타바이러스 양성 반응이 나왔다는 현지 언론 보도가 국내 언론을 통해 전해진 것이 계기였다.  신종 코로나바이러스 감염증(코로나19)에 이어 또 하나의 중국발 바이러스 감염병이 국내로 전파되는 것 아니냐는 다소 막연한 우려가 제기된 것이다. 중국 관영 글로벌타임스의 25일 보도에 따르면 윈난(雲南)성 출신 노동자 톈(田)모씨가 지난 23일 버스를 타고 일터가 있는 산둥(山東)성으로 가는 길에 사망했는데, 사후 검사에서 한타바이러스 양성 판정을 받았으며 코로나19는 음성 반응이 나왔다고 한다.  이 기사를 접한 일부 네티즌들은 ""한타바이러스 한국에서도 위험한 것 아냐?"", ""이거 사람간 전염되면 어떻게 되는 거죠?"" 등과 같은 글을 SNS나 인터넷 커뮤니티 등에 올렸다. 정말 코로나 이어 중국발 한타바이러스 전파 가능성이 있을까?"
3	0.0	0.1346	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	코로나19 3번 확진자는 슈퍼전파자이다? 지난 12일, 국내 3번째 코로나19 감염증 환자(54세 남성, 한국인)가 퇴원했다. 중국 우한시 거주자로 지난 달 20일 일시 귀국했다가 증상이 시작돼 26일 확진된 환자이다. 3번 확진환자가 접촉한 사람 중 2· 3차 감염 사례가 잇따라 나오면서 이 남성이 '슈퍼 전파자'라고 지목되기도 했다. 다수의 사람들에게 바이러스를 옮겼다는 비난이다. 이 남성, 정말로 '슈퍼 전파자'가 맞을지 따져봤다.
4	0.0	0.0981	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	배달원 통해 코로나 전염될 수 있다?온라인상에서 음식·물품 등을 배달하는 배달원을 통해 코로나19가 전파될 수 있다는 게시글이 다수 올라오고 있음. 실제로 배달원들의 경우 여러 사람을 만나는 직업 특성상 코로나19 감염자와 접촉할 확률이 일반인보다 높은 상황.
5	0.0	0.0803	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	울산·창원에서 확진자가 나왔는데 보도가 안되고 있다?울산과 경남 창원에서 확진자가 나왔는데 보도가 안되고 있다?증거로 실제 공무원들이 보고한 문자 내용도 있다?Powered by Froala Editor
6	0.0	0.0435	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	
7	0.0	0.0435	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	
8	0.0	0.0435	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	
9	0.0	0.0435	제기, 판정, 변이, 패혈증, 전파, 대구, 경우, 있다, 음성, 한타바이러스	
