	qna_urls	titles	questions	answers	dates
0	https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40305&docId=354057900&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=1&search_sort=0&spq=0	코로나 관련 5월 종합소득세 어떻게 되나요 ??	작년도 매출 3억 초반대였구요 올해 1월 인가 휴업을 내고난후 코로나가 터졌습니다.(아직도 휴업중입니다 코로나때문에)세금에 대해서 좀 궁금한데이번년도 5월 종합소득세 납부기간이 연장된다는 이야기를 어디서 들은것같아서요그리고 혹시 이번 코로나 로 인해서 종합소득세 절감해주는 그런제도는 없나요 ㅠㅠㅠ	['안녕하세요.세무사 이지원입니다.\u200b납부기한은 8월까지로 연장되었습니다.다만, 신고기한은 동일하게 5월말(5월말이 휴일이어서 6/1까지)입니다.\u200b세금을 내는 것은 이번 5월(기한연장 8월)이지만사실 이번에 신고되는 소득이 2019년 소득에 대한 부분이다보니아직 감면등에 대해서는 언급된 내용이 없습니다.\u200b다만, 올해의 경우에는 부가세 감면등 코로나로 인해 신설된 제도가 있으니그 부분을 검토해보시는 것도 좋을것 같습니다.\u200b답변이 도움이 되었기를 바랍니다.종로 이음세무회계이지원세무사\u200b사무실: 02-742-9980핸드폰: 010-9100-9980블로그: http://blog.naver.com/2ztax              이세무사의 쉬운 세금이야기 : 네이버 블로그 사업자 세금/신고상담   환영합니다.상담가능 시간은 평일 오전9시부터평일 오후6시 입니다.  그 외 시간의 경우  문자나 카톡으로 내용 남겨주시면 확인후 회신합니다.사무실: 02)742-9980핸드폰: 010-9100-9980※ 상담시 상담 내용에 따라 상담료가 청구될 수 있습니다. blog.naver.com            \u200b\u200b']	작성일2020.04.22
1	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60803&docId=353704284&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=2&search_sort=0&spq=0	코로나 직장휴업	코로나로인해 직장휴업을 하게 되었는데 고용센터에서 지난달 매출이 작년과 비교해서 20퍼센트이상 줄어야 지원이 된다합니다 그래서 해당이 안된다 하는데 일이 줄어든것은 이번달인데 지난달을기준으로 작년과 비교하면 해당이 안된다하니 답답합니다 무급휴직으로 쉬라하는데 걱정입니다 방법이 없나요? 부탁 드립니다~~	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 박병규 입니다.\u200b코로나로 인해 매출 하락 등으로 휴업을 하게 되는 경우 회사는 휴업으로 쉬는 직원에게 급여의 70%를 휴업수당으로 지급해야만 합니다. 이는 정부로 부터 고용유지지원금을 받던 안받던에 상관없이 지급되야야 합니다.\u200b이렇게 회사가 휴업수당을 지급한 경우 어려운 회사사정을 감안해서 일정요건에 맞으면 정부가 회사에게 고용유지지원금을 지원하도록 되어 있습니다.> 고용유지 지원금은 회사가 직원들에게 유급휴업을 한 경우에 한해 지급\u200b코로나 휴업시에는 유급으로 휴업수당이 지급되는 것이 원칙이며 다만 직원으로 부터 동의를 얻은 경우에 한해 무급휴업을 할 수 있습니다.> 무급휴업의 경우 고용유지지원금이 지원 안됨']	작성일2020.04.19
2	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70402&docId=353732501&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=3&search_sort=0&spq=0	코로나 타이네롤	코로나에 타이네롤이 좋나요?	['안녕하세요. 네이버 지식iN 상담 약사 정일영 입니다.\u200b해열진통제인 타이레놀이 코로나를 치료하지는 않습니다.']	작성일2020.04.19
3	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=354202001&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=4&search_sort=0&spq=0	코로나증상	제 친구 남친이 열이͙ 어제 39도를 넘고 너무 아파서 병원을 갔는데 격리실에서̆̎ 피검사를 해봤는데 피에 염증이 있다고 하면서 독감인지 뭐인지 정확히 말은 안해주고 그냥 퇴원하고 집에 왔는데 또 열이͙ 내려갔다고 괜찮은 거 같다고 코로나̐̈ 검사̐̈ 그냥 내일 받는 다고 오늘은 괜찮아서 안받아도 될 거 같다고 하는데 제가 잘 몰라서 그러는데 열내리면 괜찮은 건가요	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.열이 내려도 한번씩 열이 납니다.코로나 검사 내일 받는다니 그렇게 하시고치료 잘 하세요.\u200b']	작성일2020.04.23
4	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=354117194&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=5&search_sort=0&spq=0	코로나 증상 좀 알려주세요	제가 이틀전부터 열이 나기 시작해서 지금은 목아프고 근육통에 열이 37도에서 39도 왔다갔다 하는데 코로나인가요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.요즘 조금만 불편해도 코로나 때문에 걱정이 많습니다열이나면   좀 긴장을 하셔야하는데 1-2일정도 경과보시다가 계속되면 선별진료소 방문이 필요합니다증상만으로 코로나를 구별할수는 없지만 코로나는 아닌 듯하니 너무 걱정하지않으셔도 괜찮을것 같아요']	작성일2020.04.22
5	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70102&docId=354176109&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=6&search_sort=0&spq=0	코로나19	예전에 신종플루나 메르스 같은 질병들이 발생했을 때에는 이렇게까지 대응을 하지 않았던것 같은데 이번 코로나19는 왜 예전보다 더 강도높게 대응을 하고 지역별, 일별 확진자 수를 공개하고있는건가요? 전에 있었던 질병들보다 감염률이나 사망률이 더 높은건가요?질병으로 인한 군부대 외출,휴가 통제도 이번이 처음이라고 들었는데 코로나 19는 강도를 높인 이유가 궁금합니다.그리고 후에 신종 바이러스가 나온다면 앞으로도 계속 이런식으로 강도높게 대응할지도 궁금합니다.	"[""\u200b         Loading... player_likesound_mutesound_mutesound_volume2sound_volume3 [x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0 도움말라이센스Video Statistic Version 4.17.48 (PD)Build Date (2020/2/12)NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다. topleft rightbottom마우스를 드래그 하세요360° Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거00:00 | 00:00 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기         반갑습니다. 하이닥-네이버 지식iN 상담의 최혁기 입니다.  영상답변드립니다. 감사합니다.  관련해서 제 유튜브 채널 '여러분의 닥터초이'에 영상이 있으니 참고해주시면 좋겠습니다.""]"	작성일2020.04.23
6	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=6080402&docId=353867094&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=7&search_sort=0&spq=0	경상도 코로나 지원금	저는 서울에살고있고 부모님은 경상도에살고계세요저는 서울에 세대주로등록되어있어요제가 올해 실업급여를 받으면서 건강보험은 엄마 밑으로들어가있어요. 부모님이 코로나 지원금신청하셨는데 안되셨다고하셨는데 거주지가달라도 제가실업급여를받으면 부모님이 정부지원금을 못받는건가요?	['안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 이종호 입니다.1. 부모님과는 관계없는 것으로 압니다2. 자세한 것은 경상도 관련부서에 문의하시면됩니다.']	작성일2020.04.20
7	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60803&docId=354395951&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=8&search_sort=0&spq=0	코로나19 회사 휴업연장(질문)	4월 5일 코로나(휴업) 월급 70% 받았구요..4월5일부터~5월 미정인데 70% 또 월급 받을 수 있는지 궁금해서요.4월5일에 월급 70프로 받았고, 이제 5월5일이 월급날인데 70프로 받게 되는건가요?아니면 못 받는건가요?	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 이기중 입니다.\u200b계속 휴업중이라면 휴업수당 70%를 받습니다.']	작성일2020.04.25
8	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60801&docId=354242923&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=9&search_sort=0&spq=0	코로나 월급 밀림.. 도와주세요	안녕하세요 안경원에서 일하고 있는 안경사 입니다.현재 저희 안경원에는 직원이 모두 3명이 있고 모두 2개월치 월급을 못 받았습니다. 사장님은 언제까지 밀린단 말씀도 없으시고 오히려 매출이 안나오면 나오게 노력 해야지 의자에 앉아 있었다는 이유로 질책하고 가시네요. 사장님 마음도 물론 이해는 가지만 너무 힘이 듭니다.사장님도 오죽 했을까요..사장님이 다른 매장 하나 더 가지고 있는데 거기 직원들도 못받았다고 하더라구요회사도 하나 가지고 있고 거기 직원들도 모두 못받구요월급을 받지 못한 막내직원은 적금을 깨서 사용하고 있구요두째 직원은 밥도 거르고 신용카드대금 내지 못해 많이 힘들어 합니다. 부모님한테 돈 빌려 쓰는걸로 알고 있어요.저는 대출금 이자도 다음달부터는 내지 못할것 같아요이와중에 해고될까 누구도 월급달어고 먼저 말하지 못하고 있습니다.1월 월급 못받고 3월 월급 받지 못했습니다. 곧 4월 월급이 4월 10일날 들어와야 하는데 불투명 한 상태입니다. 급여 명세서 받아 본적도 없고 근로계약서 쓴적도 없습니다.어찌 해야 할까요....도와주세요그만두지 않고 슬기롭게 해결 할 수 있는 방법이 있을까요..	['안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 박종태입니다. 조금이나마 도움을 드리고자 몇 자 적습니다. 질문의 내용으로 보아 코로나19로 인하여 가게사정이 악화되어 월급을 받지 못하고 계신데, 이를 어떻게 해결하여야 할지에 관하여 궁금하신 것으로 사료됩니다. 1. 원칙적으로 사업주는 근로자에게 매월 1회 이상 정해진 날짜에 임금 전액을 지급하여야 합니다(근로기준법 제43조 참조). 따라서 이를 위반할 경우 임금체불에 해당되어 사장님께 체불임금을 달라는 요구를 하였음에도 이를 거부한다면 고용노동부에 체불 진정을 제기할 수 있습니다. 2. 그러나 예상치 못한 코로나 19 관련 경제상황 악화 등으로 인해 사정이 여의치 않을 경우 사장님께 사업장을 휴업하거나 직원들을 휴직시킨 후 고용유지지원금 신청을 권고해 보시는 것도 하나의 방법일 것으로 사료됩니다. 현재 고용노동부는 코로나 19확산에 따른 실업 예방 및 인건비 부담을 줄이기 위하여 고용유지지원금제도를 확대 실시하고 있습니다. 고용유지지원금이란, 코로나로 인한 일시적인 경영난으로 고용조정이 불가피하게 된 사업주가 휴업‧휴직 등 고용유지조치를 하는 경우에 인건비 일부를 지원하는 제도입니다.  고용유지지원금을 받기 위해서는 사업주가 70%이상의 휴업‧휴직수당을 지급하여야 하므로 무급휴업의 경우 고용유지지원금을 받을 수 없으나 4월부터 지원 규모를 확대하여 우선지원대상기업이라면 사업주가 근로자에게 지급한 휴업, 휴직수당의 최대 90%가 지원됩니다. 따라서 안경원의 계속경영과 고용유지를 고려한 장기적 관점에서는 사장님으로부터 휴업수당을 지급하도록 하면서 고용유지지원금 신청을 검토할 것을 협의해 보는 것도 방법이 될 수 있을  것으로 사료됩니다.  도움이 되셨길 바라며, 고용유지지원금 등 정부지원금 신청에 관한 추가적인 궁금 사항이 있으시면 문의해 주시기 바랍니다. 박종태 노무사 드림.']	작성일2020.04.24
9	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60801&docId=353784150&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=10&search_sort=0&spq=0	제가 코로나 때문에 회사 사정이 안좋아져서 해고를 당했거든요?근데 서류를 작성할때 경제악화로 인한 권고사직이라고 쓰긴했는데 혹사 다른 회사 취업하려고할때 불리하게 적용되나요? 그럼 제가 그만둔걸로 하고 사직서를 작성하는게 더 괜찮을지 지금 상태로 가도 상관없는지 궁금해요ㅠㅠ	코로나 증상이 많던데 정확히 어떤 증상이 있나요? 제가 지금 감기가 걸렸거든요..... 어떤 증상이 코로나 증상이고 저는 코로나 증상에 걸렸는지도 궁금합니다! 그리고 만약...	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 이후록 입니다.\u200b이전 회사의 근로관계 종료 사유는 새로 이직하는 회사에서 알 수 없으므로 취업에 영향을 주지는 않습니다. 감사합니다.']	작성일2020.04.20
