	qna_urls	titles	questions	answers	dates
0	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=348262493&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=1&search_sort=0&spq=0	코로나 의심	몇일전부터 몸살이 있는데 기침. 인후통 없는데,,,초기증상이 몸살 인후통 등이 같이 와야 코로나인가요??무서워서,,,	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.꼭그런건 아닙니다나라에서 새로운 지침이 나왔습니다.주증상은 발열 기침 폐렴 호흡곤란 목아픔 입니다.증상이 있다면 외출을 자제하고 집에서 충분히 휴식을 취하면서 3-4일동안 경과를 관찰하세요. 코로나 19 감염이 지역사회 감염으로 번지면서 불안감이 고조되고 있습니다.코로나 19는 아마도 아니겠지만  증상만으로는감별이 안되어서 걱정되거나 의심되면 1339 전화하셔서 선별검사나 진료가 필요한지 안내 받아보세요. 지속되거나 증상이 심해지면 1339로 전화해서 신고해야 합니다.']	작성일2020.02.26
1	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=348298875&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=2&search_sort=0&spq=0	코로나 19 증상 중에	호흡기 증상이 없으면 코로나19는 아닌가요?호흡기 증상에는 평소보다 숨이 차는 것도 포함인가요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.\u200b\u200b증상 코로나19에 감염되면 약 2~14일(추정)의 잠복기를 거친 뒤 발열(37.5도) 및 기침이나 호흡곤란 등 호흡기 증상, 폐렴이 주증상으로 나타난다. 또 근육통과 피로감, 설사 증상이 나타나기도 하지만, 드물게 무증상 감염 사례도 있다. 실제로 세계보건기구(WHO)는 2월 1일 무증상 감염자의 전파 가능성을 재차 밝혔으며, 다만 무증상 감염자의 전파는 드물 수 있으며 주요 전염 경로가 아닐 수 있다고 알렸다. 또 우리 보건복지부도 2월 2일 코로나19는 무증상·경증 환자에서 감염증이 전파되는 경우도 나타나고 있다며, 해당 증상들은 차도가 좋아지기도 하지만 일부에서 중증 폐렴을 유발할 가능성이 있어 주의가 요구된다고 밝혔다. [네이버 지식백과] 코로나바이러스감염증-19 - COVID-19 (시사상식사전, pmg 지식엔진연구소)\u200b호흡기 증상 없어도 코로나 일수 있어요.호흡곤란도 있어요.\u200b']	작성일2020.02.26
2	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=348313748&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=3&search_sort=0&spq=0	코로나 감염 증상	제가 최근에 독서실에서 생활을 하다가 어제 갑자기 뒷자리 사람이 기침을 해서 짐을 다챙겨서 집으로 왔습니다 근데 제가 지금 갑자기 코 뒤에 기관지 라고 할까요 빡빡하게 부은 느낌이 나는데 혹시 코로나 일까요 ..?? 두통이나 오한 근육통 기침 콧물은 없습니다 ㅜㅜ 제발 답변주세요	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이세라 입니다.\u200b코로나19 바이러스 감염과 관련된 질문과 궁금증이 많을 것입니다. 현재 증상만으로는 가능성이 떨어집니다. 경과 관찰이 필요합니다.\u200b코로나19 감렴 여부와 상관없이 당분간 지속적으로 마스크와 손씻기를 해야합니다. 또한 건강한 사람의 경우 크게 문제되지 않으므로 수분 섭취, 영양섭취, 비타민이나 미네랄 보충 그리고 휴식과 수면을 통해 면역을 유지하도록 노력하시기 바랍니다.\u200b\u200b']	작성일2020.02.26
3	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70402&docId=348158694&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=4&search_sort=0&spq=0	코로나19 감염 이유	코로나19 감염되는 가장 큰 이유가 비말(침방울) 때문이라고 알고 있는데요 그럼 그리 밀폐 되지 않은 실내에서 모여 있어도 말 같은걸 전혀 하지 않으면 감염되지 않을까요?그리고 꼭 kf94 마스크 끼지 않아도 잠깐 외출 할 경우엔 일반마스크 착용하고 조심히 피해 다니면 감염 우려가 없을수도 있나요?	['안녕하세요. 네이버 지식iN 상담 약사 이진엽 입니다.\u200b외출을 하여도 접촉이 없다면 감염 확률이 낮습니다.하지만 어디서 어떻게 바이러스가 퍼져있을지 100% 예방을 하기에는한계가 있기 때문에 안심을 할 수는 없습니다.코로나 예방을 위하여 마스크 착용은 필수로 하시고손소독제 사용 및 자주 손을 씻어주시기 바라겠습니다.']	작성일2020.02.25
4	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70119&docId=348444150&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=5&search_sort=0&spq=0	코로나바이러스요ㅜㅜ친구만난후바로..	제가친구를 2월7일날만났구요 그후로도싸댕겼지만저날당산에 큰술집에갔습니다.아저씨들겁나많으셨구요그후그담날2일째부터기침.특히재채기 하루..5번6번정도했구요그증상계속되고가슴통증도잇엇습니다.2주안에증상이나타나면코로나인건가요저는잠복기고나발이고없이아주바로그냥증상이나타난건데코로나인걸까요?엑스레이상엔문제없다하셨구요ㅜㅜㅜㅜ미치겟습니다도와주세요..ㅜㅜㅡㅠ지금은 잔기침?잔애취정도만잇고 가슴통증은없어여...아돌겟어요도와주세용..	['코로나는 감기와 구분되지 않습니다.\u200b         Loading... player_likesound_mutesound_mutesound_volume2sound_volume3 [x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0 도움말라이센스Video Statistic Version 4.17.48 (PD)Build Date (2020/2/12)NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다. topleft rightbottom마우스를 드래그 하세요360° Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거00:00 | 00:00 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기접기/펴기``         \u200bhttps://www.youtube.com/channel/UCs-hwNc_lG5M57FREGUQbGg              일차진료소 마취통증의학에서 다루는 질병들과 마취 지식을 알려드리는 채널입니다. 시간이 날 때 틈틈히 혼자 제작하는 거라서 업로드가 다소 느릴 수 있어 양해바랍니다. 감사합니다 www.youtube.com            \u200b']	작성일2020.02.28
5	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60802&docId=348054796&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=6&search_sort=0&spq=0	코로나 바이러스로 인한 연차 소진 강제	현재 코로나 바이러스로 인해 회사에서 공식적이 아닌 구두상으로 주 4일 근무를 지시했습니다.해당건에 대해 연차를 소진하고 연차가 없을 시 마이너스 처리로 진행하라 지시가 내려왔는데요.1. 이경우 법적으로 문제가 없는 것인지 궁금합니다.2. 연차를 모두 소진하고 마이너스 처리가 될 경우, 제가 알고 있기론 월급에서 근무를 하지 않은 일자의 급여가 차감될 뿐 아니라. 주휴수당도 받지 못한다고 알고 있는데 이가 맞는지 궁금합니다.해당건을 구두상으로 지시할 경우, 제가 이 사항을 지키지 않아도 법적으로 문제가 되지 않는 지 궁금합니다.	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 백승재 입니다.\u200b1. 네. 문제가 있습니다. \u200b2. 주5일 근무를 주4일 근무로 줄이면 하루는 휴업이 됩니다. 휴업수당을 지급해야 합니다.평균임금의 70퍼센트입니다. 청구할 수 있습니다.유급휴가인 연차휴가로 차감하지 못합니다.\u200b회사에 확진자가 있어서 폐쇄를 하는 것이 아니라면 휴업수당 지급해야 합니다. 연차소진 무효입니다. 코로나 동영상 첨부했으니 참고해주세요.\u200b3. 주휴수당도 발생합니다. 주4일 개근하면 정상적으로 주휴수당이 1개씩 발생합니다.\u200b아래 코로나 동영상, 연차휴가의 모든것, 주휴수당의 모든것 동영상을 참고해주세요.\u200b\u200bhttps://youtu.be/go9eQy8AQrw                 \u200bhttps://youtu.be/_z4P5HoRwk0                 https://youtu.be/zToyzGv23NA                 \u200b']	작성일2020.02.24
6	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70115&docId=348122195&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=7&search_sort=0&spq=0	코로나 궁금증	제가 태어나서 바로 폐렴에 걸리지말라고 총 3번?의 예방주사를 맞았데요.. 근데 요즘에 코로나 19가 유행이잖아요? 이것도 급성폐렴을 일으킨다는데.. 폐렴까지 안갈수도 있다는 소릴 들었거든요 예방주사를 맞으면 걸려도 폐렴까지는 안가나요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 최연철 입니다.\u200b과거 접종하셨던 폐렴 백신은 폐렴구균에 대한 예방접종일 것으로 생각됩니다.코로나19와 폐렴구균 모두 폐렴을 일으킬수 있지만,각각 다른 원인에 의한 다른 질환입니다.\u200b결론적으로 과거 접종하셨던 것과 코로나19 감염과는 관련이 적을 것으로 판단됩니다.\u200b도움이 되었길 바랍니다. 감사합니다.\u200b']	작성일2020.02.24
7	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60801&docId=348203688&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=8&search_sort=0&spq=0	코로나사태 월급삭감	코로나때문에 손님이줄어서 한달에 출근은 반으로줄이고 월급을 70%만 준다는데 이게 법적으로문제가안되나요?	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 이준우 입니다.\u200b네, 코로나로 인한 매출감소 등 간접적인 영향으로 출근일수를 반으로 줄이고\u200b출근하지 않는 기간 동안 평균임금의 70%(휴업수당)를 지급하는 것도 가능합니다.\u200b답변이 도움되셨길 바랍니다.']	작성일2020.02.25
8	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70203&docId=348269020&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=9&search_sort=0&spq=0	이번에 코로나 사태로 심각한데 치과 가도 될까요?	코로나 증상이 많던데 정확히 어떤 증상이 있나요? 제가 지금 감기가 걸렸거든요..... 어떤 증상이 코로나 증상이고 저는 코로나 증상에 걸렸는지도 궁금합니다! 그리고 만약...	['안녕하세요. 대한치과의사협회-네이버 지식인 상담치과의사 전진모 입니다.\u200b안녕하세요, 숭실대학교 입구역에 위치한 리더스진 치과의원 대표원장 전진모 입니다.\u200b코로나 때문에 치과 진료 걱정이 많으신 것 충분한 이해를 하며 공감합니다^^\u200b치과는 비말을 다루는 곳이므로, 방역과 멸균을 확실하게 하는 곳을 가는 것을 추천 드립니다. \u200b혹시나 라는 걱정이 있으시다면, 어느정도 진정된 이후에 급한 통증의 증상이 아니라면 그 떄 가셔도 무방합니다^^ \u200b부디 현재 가지고 있는 현증을 정직한 치과에서 잘 해결하셔서 구강 건강 회복이 되실 수 있기를 간절하게 기원합니다. 정직, 성실, 믿음, 그리고 환자에대한 정성으로 참됨을 선도하는 리더스진 치과 대표원장 전진모 였습니다 ^^']	작성일2020.02.26
9	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60802&docId=348061617&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=10&search_sort=0&spq=0	코로나 무급휴직 관련	코로나 사태로 인해 2월에 무급휴직하였는데사태가 심각해져서 3월도 무급휴직을 통보받았습니다2개월동안 무급휴직을 하게되었는데이럴경우 아무리 천재지변이라도 2개월 이상 무급휴직인데 임금의 70퍼센트를 받을순 없나요?	['안녕하세요. 로시컴-네이버 지식iN 상담 공인노무사 박병규 입니다.\u200b코로나 사태로 인해 경영사정이 악화되었다고 휴업하는 것은 휴업수당 지급요건에 해당됩니다.\u200b현재 노동부 입장이 그러합니다.\u200b\u200b']	작성일2020.02.24
