	qna_urls	titles	questions	answers	dates
0	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=351023763&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=1&search_sort=0&spq=0	코로나 증상	월요일부터 열도 37.6도?정도고 머리도 아프고 감기증상 조금 있는데 코로나바이러스인가요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.\u200b증상 코로나19에 감염되면 약 2~14일(추정)의 잠복기를 거친 뒤 발열(37.5도) 및 기침이나 호흡곤란 등 호흡기 증상, 폐렴이 주증상으로 나타난다. 또 근육통과 피로감, 설사 증상이 나타나기도 하지만, 드물게 무증상 감염 사례도 있다. 실제로 세계보건기구(WHO)는 2월 1일 무증상 감염자의 전파 가능성을 재차 밝혔으며, 다만 무증상 감염자의 전파는 드물 수 있으며 주요 전염 경로가 아닐 수 있다고 알렸다. 또 우리 보건복지부도 2월 2일 코로나19는 무증상·경증 환자에서 감염증이 전파되는 경우도 나타나고 있다며, 해당 증상들은 차도가 좋아지기도 하지만 일부에서 중증 폐렴을 유발할 가능성이 있어 주의가 요구된다고 밝혔다. 감기 vs 독감 vs 코로나19           구분   단순 감기   독감   코로나19   증상 발생 위치   주로 상부 호흡기관(상기도)  주로 상하부 호흡기관  주로 하부 호흡기관(하기도)  주요 증상   콧물, 인후염, 열과 두통으로 인한 무기력증   두통, 근육통, 기침, 한기를 동반한 고열   발열, 마른기침, 근육통, 피로   잠복기   잠복기 없음      잠복기 평균 7~14일 추정   회복 소요 기간   일주일 안에 회복   일주일~몇 주 동안 길게 지속   약 13~18일(국내 기준)   감염 판단 방법   별도 검사 없음   독감 바이러스 검사   코로나 유전자 유무 검사 [네이버 지식백과] 코로나바이러스감염증-19 - (COVID-19) (시사상식사전, pmg 지식엔진연구소)            2-3일 지켜 보시고37.5도 이상의열 기침 근육통 피로 있으면1339나 보건소 연락해서 상담 하세요.']	작성일2020.03.25
1	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70120&docId=351368623&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=2&search_sort=0&spq=0	코로나19 의심증상	안녕하세요.제가 원래감기 기운이 있었거든요.한 한달? 요즘 시국이 시국인지라 병원도 못가고 종합 감기약으로 버티고 있었거든요. 그리고 학교세서 집에서 공부하라고 학교 친구랑 같이 갔다 오고 사촌이 저희집 근처에 있어서 뽑아놓은 숙제를 가지고 왔는데 한 5일뒤에 엄마 아빠가 그러더라구요. 왜 그날 갔냐 사촌 누나가 뽑아놓은 걸 가져왔잖아요 그 누나가 저희 부여 코로나 확진자 딸이랑 놀다 왔다 하더라구요. 우선 의심증상이 없어기에 그냥 평소대로 집에서 먹고 자고 먹고 자고를 계속 반복하고 아침에 허벅지에 아주 약한근육통이 있어서 뭐 그려러니 했죠 그리곶오늘 허벅지에 근육통은 그대로고 팔에 약한 근육통이 있어서 누르면 느껴지는 정도? 그래서 1399에 전화를 할려고 하는데 우선 자가격리를 해야하잖아요 근데 저희집이 농사를 지어가주고 요즘 수박을 하고 있거든요? 안바쁘면 바로 전화를 할텐데 너무 바빠서 점심도 하우스에서 먹고 집와서 저녁먹고 11시가 넘어서 들어오시더라구요 그래서 코로나19에 농사짓는 사람에 대한 정책이 있을까요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 전평식 입니다.\u200b1개월이 지난 증상이면 감기 같아요.\u200b코로나 19 증상은 주로 발열 또는 호흡기 증상(기침, 인후통)입니다. \u200b궁금하면 선별진료소애 가보세요.']	작성일2020.03.28
2	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=350795300&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=3&search_sort=0&spq=0	코로나 증상 목따가움	열이 나거나 설사를 한다거나 이런 증상은 없고 목이 좀 따가워요 중1 여자고요 코로나 확률 있을까요	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 최연철 입니다.\u200b안타깝지만 증상만으로 코로나바이러스-19 감염증을 구분할수 없습니다.질문자님께서 발열, 인후통, 호흡기 증상 등이 있고,집단 감염이 일어난 곳을 방문하셨거나,의심되는 증상이 있는 사람 또는 확진자와 접촉한 적이 있으시다면코로나바이러스-19 감염증을 배제하기 어렵습니다.\u200b가까운 보건소나 질병관리본부(1339)에 문의하시길 권합니다.\u200b도움이 되었길 바랍니다. 감사합니다.']	작성일2020.03.23
3	https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60217&docId=350343306&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=4&search_sort=0&spq=0	코로나 때문에 급하게 한국으로 들어오는 초등5학년 유학생	i20비자 5학년을 끝내는 시점이 6월초인데 최근 미국도 코로나때문에 많이 불안해서 혼자 유학 가 있는 아이를 지금 3월에 급거 귀국을 시킬 예정입니다.현재 오늘부터 2주동안 온라인 교육을 실시하고 휴교령이 내려진 상태이기도 합니다.그런데, 문제는 i20비자에 대한 궁금증입니다.보통 한국 국적 아이들이 여름 방학 때 한국에 오게 되면 미국 학교에서 i20비자에 간단하게 방학중이라 한국에 다녀온다는 내용을 기술해 준다는 겁니다. 그래서 다시 미국에 돌아올때 i20비자를 활용한다고 합니다. 그런데, 미국 상황이 심각해지는 것 같아서 급하게 오게 되서 현재 i20비자에 대한 미국 학교의 코멘트없이 한국을 들어오게 되는 것이지요.. 이런 특수한 상황에 미국학교로부터 한국 귀국에 대한 내용이 담긴 i20비자가 없이 들어오면 나중에 다시 가기 어렵나요? 아이 귀국이후라도 학교로부터 급거 귀국하게 된 배경이 담긴 i20 비자를 미국으로부터 우편발송받을 수 있을까요? 걱정인데요.. 좋은 답변 기대하며 미리 감사드립니다	['안녕하세요. 로시컴-네이버 지식iN 상담변호사 문종술 입니다. 법무법인의 외국변호사들의 의견을 종합하여 알려 드립니다\u200b5학년을 끝내는 시점이 6월초인데 최근 미국도 코로나때문에 많이 불안해서 혼자 유학 가 있는 아이를 지금 3월에 급거 귀국을 시킬 예정입니다. 현재 오늘부터 2주동안 온라인 교육을 실시하고 휴교령이 내려진 상태이기도 합니다. 그런데, 문제는 i20비자에 대한 궁금증입니다. 보통 한국 국적 아이들이 여름 방학 때 한국에 오게 되면 미국 학교에서 i20비자에 간단하게 방학중이라 한국에 다녀온다는 내용을 기술해 준다는 겁니다. 그래서 다시 미국에 돌아올때 i20비자를 활용한다고 합니다. 그런데, 미국 상황이 심각해지는 것 같아서 급하게 오게 되서 현재 i20비자에 대한 미국 학교의 코멘트없이 한국을 들어오게 되는 것이지요.. 이런 특수한 상황에 미국학교로부터 한국 귀국에 대한 내용이 담긴 i20비자가 없이 들어오면 나중에 다시 가기 어렵나요? 아이 귀국이후라도 학교로부터 급거 귀국하게 된 배경이 담긴 i20 비자를 미국으로부터 우편발송받을 수 있을까요? 걱정인데요.. 좋은 답변 기대하며 미리 감사드립니다\u200bAnswer:\u200b급하게 한국으로 오더라도 학교 DSO에게 여행을 동의하는 서명을 받긴 해야 합니다 여행에 대한 동의가 있다면 다시 재입국 시에는 기존의 F1 비자와 학교 관계자의 서명이 들어가 있는 I-20와 여권만 있으면 미국 재입국은 가능합니다 만약 급하게 한국으로 입국하여서 I-20에 서명이 없는 경우에는 나중에라도 우편으로 학교 DSO를 통해 여행을 허가하는 서명을 받으시면 재입국은 얼마든지 가능합니다                    \u200b']	작성일2020.03.18
4	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70103&docId=350887213&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=5&search_sort=0&spq=0	코로나바이러스	며칠 전에 열이 37도 중반쯤에 있어서 해열제를 일단 먹었는데 열은 안나요 그러고 다음날엔 목이 조금 아팠는데 그 다음날인 오늘은 두통이 심하게오고 목이 많이 아프네요 코로나는 발열이나 기침이 주된 증상 이라는데 기침은 전혀 안하고요 열만 잠깐 났었고 지금은 전혀 안나요 두통이 왜이리 심한지 모르겠어요 최근이 아니어도 옛날에 평소에도 엄청 자주 아파서 타이레놀을 달고 살았는데 이번에도 타이레놀을 먹었거든요? 그래도 계속 아파요ㅜㅠㅜ어떤 느낌이냐면 움직일때마다 누가 머리를 꽉꽉 누르는 느낌...?엄청 아픕니다 게다가 구내염까지 나서 정말 죽을 지경입니다엄청난 두통도 코로나의 증상인가요..? 정말 무섭네요 아침에 동네 병원을 갈 예정인데요 괜찮겠죠?? 내과가서 구내염도 치료하고 목 아픈것도 함 보려구요 답변 부탁드려용	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이세라 입니다.\u200b코로나19 바이러스 감염과 관련된 질문과 궁금증이 많을 것입니다. 현재 증상만으로는 가능성이 떨어집니다. 경과 관찰이 필요합니다.\u200b코로나19 감염여부와 상관없이 당분간 지속적으로 마스크와 손씻기를 해야합니다. 또한 건강한 사람의 경우 크게 문제되지 않으므로 수분 섭취, 영양섭취, 비타민이나 미네랄 보충 그리고 휴식과 수면을 통해 면역을 유지하도록 노력하시기 바랍니다.\u200b\u200b']	작성일2020.03.24
5	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70117&docId=351098445&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=6&search_sort=0&spq=0	코로나 확진에 대해서	제가 지금 유럽에있습니다 곧 한국을 가는데 가기전 2시간정도 친구한명이랑 밥먹고 얘기좀하다가 헤어졌습니다 그린데 다음날부터 몸살이랑 열이나서 감기약을먹고 집에서 쉬었는데 3일뒤지금 몸살은 없고 열은살짝있는상태입니다. 기침은 처음부터 안했구요.그리고 오늘 전화를 받았는데 친구가 한국공항에서 양성판정을 받았다네요 지금제가 무증상 감염인가요? 아니면 이전에 감기라고 생각했던게 코로나였던 건가요? 질문드립니다 증상에대해 자세히 알고싶습니다 지금 제 몸상태는 기침안하고 목안아프고 약간의 몸이 뜨거움 몸살은 없어졌고 눈알 뒤에가 조금 아픕니다 .	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.증상만으로는 코로나를 알수 없습니다검사에서 나오면  증상이 있었으니 무증상 감염자는 아니겠죠?']	작성일2020.03.25
6	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7010108&docId=350596453&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=7&search_sort=0&spq=0	자가면역질환 루푸스와 코로나19	자가면역질환 환자는 코로나19 고위험군인가요?저는 루푸스를 앓고 있고 현재 스테로이드 반 알(격일), 마이렙트네알(매일), 옥시크로린 한 알(매일)복용중입니다. 참고로 스테로이드는 복용한 지 10년이 넘었습니다.스테로이드와 마이랩트가 면역억제제이기에 평범한 사람들보다 위험한 건 당연하지만, 그게 어느 정도인지 궁금합니다. 당뇨나 심장질환과 달리 뉴스에서 잘 언급도 되지 않고...코로나19가 저 같은 사람에게 치명적인가요? 아니면, 평범한 사람들처럼만 조심하면 되나요?	['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 고재기 입니다.\u200b자가면역질환자들의 경우에도 특별히 주의해야 할 환자에 속하므로 요즘처럼 코로나19가 유행하는 시기에는 되도록 예방에 각별히 주의해 주시는 것이 좋습니다.\u200b기저질환은 보통 당뇨, 고혈압, 천식, 심혈관질환, 갑상선, 만성폐쇄성폐질환 호흡기 질환, 신부전, 결핵, 자가면역질환, 암 등 만성적인 질환을 가리킵니다.기저질환을 굳이 분류하는 이유는 전염병 등에서 건강한 사람들에 비해 위험도가 높아 예후가 좋지 않을 수 있고 치료가 어려울 수 있으므로 사전에 체크하고 관리하기 위하여 따로 분류합니다. \u200b루푸스를 비롯하여 류마티스관절염, 강직성척추염, 베체트병 등 자가면역질환은 전신에 걸쳐 나타나기도 하는 만성 염증성 자가면역질환이므로 다양한 합병증 등이 발생할 수 있고 면역억제제를 투여하는 경우도 있으므로 고위험군으로도 분류 가능한 자가면역질환 기저질환으로 보시면 됩니다.\u200b따라서 질문자님은 면역억제제를 복용하는 자가면역질환 기저질환보유자이므로코로나19처럼 전염병에 걸릴 수 있는 장소에는 가급적 방문을 삼가시는 것이 좋습니다.\u200b감사합니다.']	작성일2020.03.21
7	https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80511&docId=350399121&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=8&search_sort=0&spq=0	암컷 강아지 중성화 하려는데 코로나19와 상관이 있을까요??	코로나 증상이 많던데 정확히 어떤 증상이 있나요? 제가 지금 감기가 걸렸거든요..... 어떤 증상이 코로나 증상이고 저는 코로나 증상에 걸렸는지도 궁금합니다! 그리고 만약...	['안녕하세요.지식iN 동물의료상담 수의사 은평동물병원장 버드나무 이상철입니다.강아지나 고양이는 수컷, 암컷 모두 중성화수술이 반드시 필요합니다.수컷의 경우에는 행동장애와 전립선염, 전립선암, 항문선종과 같은 생식기질환을 예방하고암컷은 생리와 유선종양, 자궁축농증, 난소종양과 같은 생식기질환을 예방할 수 있습니다.강아지나 고양이에게 코로나 19는 연관성이 없으니 너무 걱정하지 않으셔도 될 것 같습니다.']	작성일2020.03.19
8	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70111&docId=350891258&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=9&search_sort=0&spq=0	코로나 걱정 손으로 여드름 짯어요	제가 몄시간전 집에와서 손씻고 손독제도 바르고 했는데 자려고보니 얼굴에 화농되어 있는 여드름이 느껴지길래 그냥 아무생각 없이 손으로 짜고 연고를  발랐는데 너무 찝찝 하더라구요 손소독도 몄시간 전에 했고 짜고 난후 연고는 발랐습니다  여드름도 손으로 짜면 바이러스 걱정을 해야하나요 정말 궁굼합니다ㅠ  코로나가 정말 미치게 하네요ㅠ	['안녕하세요. 하이닥-네이버 지식iN 상담의 서민석 입니다.손소독을 하셨다면 괜찮습니다. 그리고 코로나는 아직 상처를 통해 전염되었다는 보고는 없습니다. 걱정하지 마시구요. 여드름은 가능하면 건들지 않는게 흉터가 남지 않아 좋습니다. 코로나 때문에 힘들기는 하지만 오늘도 편안한 하루 되시길...']	작성일2020.03.24
9	https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=70119&docId=351414706&qb=7L2U66Gc64KY&enc=utf8&section=kin&rank=10&search_sort=0&spq=0	코로나 눈통증	오른쪽 눈을 꾹 누르는듯한 통증이 느껴집니다... 코로나랑 관련이 있을까요..?	['Loading... player_likesound_mutesound_mutesound_volume2sound_volume3 [x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:pdCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0 도움말라이센스Video Statistic Version 4.17.48 (PD)Build Date (2020/2/12)NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다. topleft rightbottom마우스를 드래그 하세요360° Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거00:00 | 00:00 화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기접기/펴기```         \u200b\u200bhttps://www.youtube.com/channel/UCs-hwNc_lG5M57FREGUQbGg?view_as=subscriber              일차진료소 마취통증의학에서 다루는 질병들과 마취 지식을 알려드리는 채널입니다. 시간이 날 때 틈틈히 혼자 제작하는 거라서 업로드가 다소 느릴 수 있어 양해바랍니다. 감사합니다 www.youtube.com            \u200b']	작성일2020.03.28
