,answers,average_noun_counts,average_verb_counts
1,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.증상 지속 하면 1339연락해 보세요.지시에 따르세요. ,3.25,0.75
3,안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이상민 입니다. 1. 일반 94KF 규격 마스크를 사용하시는 정도로 충분합니다.,5.333333333333333,0.3333333333333333
4,천식이 있으면  감기걸리면   심해질수있어요강아지는괜찮을거같아요,2.0,3.0
5,열이 계속되면 독감일가능성이 더 높아요 중국관련이슈는 없으시죠?,3.5,1.5
6,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.우한에 다녀오신적이없다면  감기라고 생각합니다너무 걱정하지 마세요,3.5,1.25
7,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 황인성 입니다. 현재 밝혀진 바로는 완치 되더라도 일정 기간 이후 다시 감염될 수 있다는 보고가 있습니다. 제 답변이 도움되셨길 바랍니다. 감사합니다.,3.6,1.4
8,열이지속적으로나고 호흡기 증상이 동반되면하루이틀 지켜보시다가 계속되면  1339전화안내 받으시는것이 좋습니다,9.0,4.0
9,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이세라 입니다. 코로나19 바이러스 감염과 관련된 질문과 궁금증이 많을 것입니다. 현재 증상만으로는 가능성이 떨어집니다. 경과 관찰이 필요합니다. 코로나19 감염여부와 상관없이 당분간 지속적으로 마스크와 손씻기를 해야합니다. 또한 건강한 사람의 경우 크게 문제되지 않으므로 수분 섭취, 영양섭취, 비타민이나 미네랄 보충 그리고 휴식과 수면을 통해 면역을 유지하도록 노력하시기 바랍니다.  ",6.0,1.7142857142857142
10,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.증상만으로  구별이 안되는거는 잘아시죠?증상이 비교적 가벼우니 경과를 지켜보셔도 좋을것 같아요 ,3.25,2.0
12,괜찮으실것 같아요  너무 걱정하지 마세요  코로나 19 주증상은 발열 기침 폐렴 호흡곤란 목아픔입니다증상이 있다면 외출을 자제하고 집에서 충분히 휴식을 취하면 3-4일동안 경과를 관찰하다가38도이상의 고열이 지속되거나 증상이 심해지면 1339로 전화해서 신고해야합니다,6.75,2.0
15,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.1339나 보건소 연락 해서 상담 받으세요. ,3.6666666666666665,1.6666666666666667
16,역학이라는 한자 자체가 풀이를 하게되면 전염병 역 자와 배울 학 자입니다.전염병의 감염 경로 등의 인과관계를 찾는 조사입니다.역학조사 전문가가 실제로 있긴하지만 대부분 공중보건의들로 구성되어있다고합니다.다만 최근엔 정보화가 많이 이뤄져있기때문에 구지 전문가 집단이 아니더라도 공무원도이 역할을 하는 것으로 압니다.,7.75,3.25
17,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.많이 걱정되시죠 지금은 우리국민 모두가 그런걱정을 안고 지냅니다개인위생 철저히하고 운동도 하면서  이겨내야지요,4.25,2.0
21,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.코로나와 거리가 있어 보여요.하루 이틀 집에서 경과 보시고 증상 지속 하면 1339나 120나 보건소 연락해 보세요. ,5.0,1.75
23,안녕하세요. 네이버 지식iN 상담 약사 이진엽 입니다. 코로나인지 아닌지는 정확한 검사를 통해 확실히 알아보셔야 합니다.현재 증상만으로는 코로나인지 아닌지 진단할 수 없습니다만현재 사소한 감기 증상이라도 의심을 한번쯤은 해보셔야 합니다.가까운 보건소에 가서 검사를 받아보시는 것이 좋겠습니다.답변 참고하시기 바랍니다. 감사합니다.,3.5,2.8333333333333335
24,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다. http://ncov.mohw.go.kr/index_main.jsp              코로나바이러스감염증-19(COVID-19) 코로나바이러스감염증-19 정식 홈페이지로 발생현황, 확진환자 이동경로, 대상별 유의사항, 홍보자료, FAQ, 관련기관(보건소, 선별진료소 찾기), 정부 브리핑, 대응지침 등 안내 ncov.mohw.go.kr             ",13.0,1.0
25,코로나 19 감염이 지역사회감염으로번지면서 불안감이 고조되고있습니다코로나 19는 아마도 아니겠지만   증상만으로는감별이 안되어서걱정되거나 의심되면  1339 전화하셔서 선별검사나진료가 필요한지 안내 받아보세요,9.5,2.0
26,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.  증상 코로나19에 감염되면 약 2~14일(추정)의 잠복기를 거친 뒤 발열(37.5도) 및 기침이나 호흡곤란 등 호흡기 증상, 폐렴이 주증상으로 나타난다. 또 근육통과 피로감, 설사 증상이 나타나기도 하지만, 드물게 무증상 감염 사례도 있다. 실제로 세계보건기구(WHO)는 2월 1일 무증상 감염자의 전파 가능성을 재차 밝혔으며, 다만 무증상 감염자의 전파는 드물 수 있으며 주요 전염 경로가 아닐 수 있다고 알렸다. 또 우리 보건복지부도 2월 2일 코로나19는 무증상·경증 환자에서 감염증이 전파되는 경우도 나타나고 있다며, 해당 증상들은 차도가 좋아지기도 하지만 일부에서 중증 폐렴을 유발할 가능성이 있어 주의가 요구된다고 밝혔다. 감기 vs 독감 vs 코로나19           구분   단순 감기   독감   코로나19   증상 발생 위치   주로 상부 호흡기관(상기도)  주로 상하부 호흡기관  주로 하부 호흡기관(하기도)  주요 증상   콧물, 인후염, 열과 두통으로 인한 무기력증   두통, 근육통, 기침, 한기를 동반한 고열   발열, 마른기침, 근육통, 피로   잠복기   잠복기 없음      잠복기 평균 7~14일 추정   회복 소요 기간   일주일 안에 회복   일주일~몇 주 동안 길게 지속   약 13~18일(국내 기준)   감염 판단 방법   별도 검사 없음   독감 바이러스 검사   코로나 유전자 유무 검사 [네이버 지식백과] 코로나바이러스감염증-19 - COVID-19 (시사상식사전, pmg 지식엔진연구소)            목감기 같아요. 집에서 2-3일 지켜 보시고  37.5도 이상 열 기침 근육통 피로 있으면1339나 보건소 연락해서 상담 하세요. ",19.375,4.125
27,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.가능성이 전혀없는 생각은 아니지만너무 불안해하실 필요없으십니다 지나친 불안감이 오히려 건강에 더 안좋습니다 어려운시기일 수록 마음을 굳게 먹어야 합니다지금이 바로 그때가 아닌가 싶습니다개인위생을 철저히 하면서 가벼운 운동은 해주시는 것이 좋을것 같습니다,4.0,2.3333333333333335
28,치료제개발은  복잡하고 시간도 많이 필요하고 비용도 많이 들어요개발하였다하더라도  효과도 검증해야하고부작용도  검증 받아야 하고안정성도 확인해야하고...비용이 너무 비싸도 대중화하기는 어렵겠지요?,3.75,1.75
29,아직까지는 알려진 바가 적지만그래도  가능성이 조금은 있을수있다고생각합니다,4.0,5.0
30,아마도  단순감기일 가능성이 높아요하지만 경과를 잘 지켜보셔야 합니다 나라에서  새로운지침을 발표했습니다주증상은 발열 기침 폐렴 호흡곤란 목아픔입니다증상이 있다면 외출을 자제하고 집에서 충분히 휴식을 취하면 3-4일동안 경과를 관찰하다가38도이상의 고열이 지속되거나 증상이 심해지면 1339로 전화해서 신고해야합니다,6.4,1.8
31,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.증상 지켜 보시고 증상 지속 하면1339나 보건고 연락해서 상담 해 보세요. ,5.666666666666667,1.6666666666666667
32,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.증상만으로 코로나를 알수 없지만  코로나는 아닌듯 합니다,4.0,1.6666666666666667
33,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.코로나 감염 거리 있어요.이틀정도 지켜 보시고 증상 지속하면1339나 120나 보건소 연락해 보세요. ,4.25,1.5
34,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.걱정 안하셔도 됩니다  개인위생은 철저히 하세요,3.25,1.0
35,안녕하세요. 피부과전문의 이현태 입니다. 피부과로 질문이 잘 못 온 것 같군요.참고로 여행 예정일에 우한 폐렴 확산세가 잠잠해지면 모를까 당분간은 사람 많이 다니는장소는 피하는게 좋을 것 같은데요. 부산도 중국인들이 많이 찾는 곳이라서.     ,4.0,2.2
36,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정경수 입니다.걱정되시면 1339나 동네 보건소에 전화문의해보신후에 병원을 방문하셔도 됩니다.질문자님의 증상은 상부호흡기 감염(단순 비염포함)이 의심되지만 정밀검사가 필요할 수도 있습니다. 단순감기인지 독감인지 우한 폐렴인지는 선별검사가 필요하답니다. 이비인후과 진료를 받아보시는게 도움되리라 생각됩니다.좋은하루되세요,6.285714285714286,1.4285714285714286
37,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다.코로나 19 위기 단계가 심각단계로 격상되고 지역사회 전염환자가 발생하고 있습니다안타깝게도 증상만으로 코로나 감염을 알아낼수 없습니다대부분 감기몸살 증상이겠지만 증상이 심하거나 걱정이 많으신분들은 1339전화하셔서 안내 받으시면 됩니다,6.6,2.0
39,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.하루 이틀 집에서 경과 보시고 증상 지속 하면 1339나 보건소 연락해 보세요. ,5.666666666666667,1.3333333333333333
40,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김규진 입니다. 몸에 열이나고 목에 이물질이 낀것 같은 증상이 있다고 하셨는데빠른 시간내에 보건소나 병원에 내원 하셔서검사를 받아보시기 바랍니다. 단순히 감기증상일수도 있고 아니면 다른 원인으로 생긴 증상일 수 있으니정확하게 검사를  받아보시고 치료를 하시는 것이 좋을 것 같습니다.,7.0,5.25
